"gender.Female","gender.Male","senior_citizen","partner","dependents","tenure_months","phone_service","multiple_lines","internet_service.DSL","internet_service.Fiber optic","internet_service.No","online_security","online_backup","device_protection","tech_support","streaming_tv","streaming_movies","contract.Month-to-month","contract.One year","contract.Two year","paperless_billing","payment_method.Bank transfer (automatic)","payment_method.Credit card (automatic)","payment_method.Electronic check","payment_method.Mailed check","monthly_charges","total_charges","churn_value","cltv","avg_monthly_charge","multiple_services"
0,1,0,0,0,2,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,53.85,108.15,1,3239,54.075,1
1,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,70.7,151.65,1,2701,75.825,1
1,0,0,0,1,8,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,99.65,820.5,1,5372,102.5625,1
1,0,0,1,1,28,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,104.8,3046.05,1,5003,108.7875,1
0,1,0,0,1,49,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,103.7,5036.3,1,5340,102.781632653061,1
1,0,0,1,0,10,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,55.2,528.35,1,5925,52.835,1
0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,39.65,39.65,1,5433,39.65,0
0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,20.15,20.15,1,4832,20.15,0
0,1,0,1,1,47,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,99.35,4749.15,1,5789,101.045744680851,1
0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,30.2,30.2,1,2915,30.2,0
1,0,0,0,0,17,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,64.7,1093.1,1,3022,64.3,1
0,1,0,0,1,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,69.7,316.9,1,2454,63.38,1
0,1,0,0,1,34,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,106.35,3549.25,1,2941,104.389705882353,1
1,0,0,0,1,11,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,97.85,1105.4,1,5674,100.490909090909,1
1,0,0,0,1,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,80.65,144.15,1,5586,72.075,1
1,0,0,0,1,15,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,99.1,1426.4,1,2966,95.0933333333333,1
1,0,1,1,1,8,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,80.65,633.3,1,5302,79.1625,1
0,1,1,0,1,18,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,95.45,1752.55,1,3179,97.3638888888889,1
1,0,0,0,1,9,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,94.4,857.25,1,5571,95.25,1
1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,79.35,79.35,1,2483,79.35,1
1,0,0,1,1,7,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,75.15,496.9,1,3457,70.9857142857143,1
1,0,0,0,1,12,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,78.95,927.35,1,5806,77.2791666666667,1
0,1,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,21.05,113.85,1,2604,22.77,0
1,0,1,1,1,25,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,98.5,2514.5,1,5337,100.58,1
0,1,0,1,0,68,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,110,7611.85,1,5034,111.938970588235,1
0,1,0,1,1,55,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,96.75,5238.9,1,5154,95.2527272727273,1
1,0,1,1,1,37,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,76.5,2868.15,1,2793,77.5175675675676,1
1,0,0,1,1,10,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,100.25,1064.65,1,5998,106.465,1
0,1,0,0,1,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,74.4,229.55,1,4415,76.5166666666667,1
1,0,1,0,1,27,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,78.05,2135.5,1,4638,79.0925925925926,1
1,0,0,1,0,25,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,58.6,1502.65,1,4190,60.106,0
0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,35.45,35.45,1,2301,35.45,0
0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,44.35,81.25,1,2570,40.625,1
1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,70.45,70.45,1,3964,70.45,1
1,0,0,0,0,8,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,71.15,563.65,1,2662,70.45625,1
0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,45.65,45.65,1,2600,45.65,1
0,1,0,0,1,7,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,95,655.5,1,2786,93.6428571428571,1
1,0,0,1,1,20,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,82.4,1592.35,1,5719,79.6175,1
1,0,0,0,1,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,70.9,273,1,4287,68.25,1
0,1,1,1,0,58,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,45.3,2651.2,1,5444,45.7103448275862,0
1,0,0,1,1,2,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,104.4,242.8,1,4690,121.4,1
1,0,0,1,0,53,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,94.85,5000.2,1,4328,94.3433962264151,1
1,0,1,0,1,15,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,74.45,1145.7,1,5717,76.38,1
