"gender.Female","gender.Male","senior_citizen","partner","dependents","tenure_months","phone_service","multiple_lines","internet_service.DSL","internet_service.Fiber optic","internet_service.No","online_security","online_backup","device_protection","tech_support","streaming_tv","streaming_movies","contract.Month-to-month","contract.One year","contract.Two year","paperless_billing","payment_method.Bank transfer (automatic)","payment_method.Credit card (automatic)","payment_method.Electronic check","payment_method.Mailed check","monthly_charges","total_charges","churn_value","cltv","avg_monthly_charge","multiple_services"
0,1,0,0,0,-1.23941593940889,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,-0.363897417225722,-0.959580872344724,1,-0.983111538636411,-0.355279349586546,1
1,0,0,0,1,-1.23941593940889,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.196164226945719,-0.940390582255713,1,-1.43811281492136,0.365255961314265,1
1,0,0,0,1,-0.994969554605076,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1.15840663636787,-0.645323328783644,1,0.820824748195905,1.25101747281819,1
1,0,0,1,1,-0.180148271925712,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1.32958274719772,0.336491616218617,1,0.508751382119429,1.45723964800704,1
0,1,0,0,1,0.67541407488762,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1.29302085944765,1.21450253230262,1,0.793761475257024,1.25827691255621,1
1,0,0,1,0,-0.91348742633714,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,-0.319026009532462,-0.774207081645818,1,1.28851193367095,-0.39635814432296,1
0,1,1,0,0,-1.28015700354285,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,-0.835878149999281,-0.989800064783741,1,0.872414112235648,-0.833151619000072,0
0,1,0,0,0,-1.28015700354285,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1.48402070556861,-0.998402608616746,1,0.364132017352281,-1.47914879429045,0
0,1,0,1,1,0.593931946619684,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1.14843521243603,1.08782455991045,1,1.1734930236807,1.20077031118861,1
0,1,0,1,0,-1.28015700354285,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,-1.14997800385211,-0.993968989872043,1,-1.25712717714259,-1.14621178856387,0
1,0,0,0,0,-0.628299977399362,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,-0.00326425169099614,-0.525064177559175,1,-1.1666343582532,-0.0165449333124868,1
0,1,0,0,1,-1.11719274700698,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.162926147172933,-0.867489537722171,1,-1.64700745291835,-0.0470227487620844,1
0,1,0,0,1,0.064298112878097,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1.38110177084553,0.558481362719544,1,-1.23513826787974,1.31154925941686,1
1,0,0,0,1,-0.872746362203172,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1.09857809277685,-0.519637957602972,1,1.0762343865566,1.18238968432435,1
1,0,0,0,1,-1.23941593940889,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0.526883120684938,-0.943699252960715,1,1.00181038597467,0.241025735296883,1
1,0,0,0,1,-0.709782105667299,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1.14012569249284,-0.378026851428891,1,-1.21399508589624,1.00357846930846,1
1,0,1,1,1,-0.994969554605076,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0.526883120684938,-0.727907749580491,1,0.761623838642102,0.475820862469733,1
0,1,1,0,1,-0.587558913265394,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1.01880670132217,-0.234143791370709,1,-1.03385517539681,1.07879757060224,1
1,0,0,0,1,-0.954228490471108,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0.983906717560743,-0.629110842329135,1,0.989124476784574,1.0087685320843,1
1,0,0,0,1,-1.28015700354285,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0.483673616980316,-0.972286167851931,1,-1.62248136181748,0.482032373770602,1
1,0,0,1,1,-1.03571061873904,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0.344073681934616,-0.788081440802126,1,-0.798742991740281,0.204939812501358,1
1,0,0,0,1,-0.832005298069203,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0.470378385071202,-0.598185800139717,1,1.18787038742948,0.413429682292116,1
0,1,0,0,0,-1.11719274700698,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1.4541064337731,-0.957066282608922,1,-1.52014836101734,-1.39235327637964,0
1,0,1,1,1,-0.302371464327617,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1.12018284462917,0.101995094452783,1,0.791224293419004,1.18534109333034,1
0,1,0,1,0,1.44949429343302,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1.5024207620162,2.35072211020497,1,0.53496892777897,1.56164175559734,1
0,1,0,1,1,0.919860459691429,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1.06201620502679,1.30388075694707,1,0.636456201299775,1.00885888133958,1
1,0,1,1,1,0.186521305280002,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.388945089627877,0.258009947095972,1,-1.36030590522207,0.421327441705893,1
1,0,0,1,1,-0.91348742633714,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1.17834948423154,-0.537615068433483,1,1.35025002506277,1.38029972802695,1
0,1,0,0,1,-1.19867487527492,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.319145122105027,-0.906024522533093,1,0.0114637418674822,0.388169536335248,1
1,0,1,0,1,-0.22088933605968,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0.440464113275695,-0.0652030651733127,1,0.200060925160312,0.473504965663731,1
1,0,0,1,0,-0.302371464327617,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,-0.20601653830499,-0.344388699261372,1,-0.178824895984028,-0.155484018090326,0
0,1,0,0,0,-1.28015700354285,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,-0.975478085044982,-0.991652920378542,1,-1.77640372665737,-0.972289472139538,0
0,1,0,0,0,-1.23941593940889,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.679659175067188,-0.97144797127333,1,-1.5489030885149,-0.800851760235553,1
1,0,1,1,1,-1.28015700354285,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.187854707002522,-0.976212457088533,1,-0.369959261114878,0.187192637356018,1
1,0,0,0,0,-0.994969554605076,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0.211121362843473,-0.758634271527609,1,-1.47109617881562,0.187399687732714,1
0,1,0,0,0,-1.28015700354285,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,-0.636449671362566,-0.987153128219739,1,-1.5235312701347,-0.634383257372262,1
0,1,0,0,1,-1.03571061873904,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1.00384956542441,-0.718114084293686,1,-1.36622599617745,0.955527006648278,1
1,0,0,1,1,-0.506076784997458,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.585049760287313,-0.30481699762955,1,1.1142921141269,0.490894129893176,1
1,0,0,0,1,-1.15793381114095,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0.202811842900276,-0.886856290248782,1,-0.0967893498880436,0.114310904759155,1
0,1,1,1,0,1.04208365209333,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,-0.648082999283042,0.162301132502617,1,0.881717112308389,-0.632384150286925,0
1,0,0,1,1,-1.23941593940889,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1.3162875152886,-0.90017920428759,1,0.244038743685995,1.87506730817884,1
1,0,0,1,0,0.838378331423493,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0.998863853458497,1.19857679730921,1,-0.0621145314351017,0.978734507630788,1
1,0,1,0,1,-0.709782105667299,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.320807026093666,-0.501859367014762,1,1.11260065956822,0.383642034764837,1
1,0,1,0,1,-1.03571061873904,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.387283185639237,-0.785125694972324,1,0.0148466509848424,0.236648098761033,1
1,0,0,0,0,-1.28015700354285,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,-1.1582875237953,-0.994079278895543,1,0.112105288108948,-1.1544938036317,0
0,1,0,0,1,-0.994969554605076,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0.654849727810163,-0.714959818221584,1,-1.90241709127904,0.597359433590071,1
1,0,0,0,1,-0.791264233935235,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0.480349809003038,-0.516880732015471,1,0.626307473947695,0.686152191288392,1
1,0,0,1,0,-1.28015700354285,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,-1.32946363462515,-0.996351232779645,1,0.380200835659742,-1.3251033140289,0
0,1,0,1,1,-1.07645168287301,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0.870897246333271,-0.773038017996717,1,-1.79162681768549,0.785154125253013,1
0,1,0,0,1,-1.28015700354285,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0.501954560855349,-0.972043532000231,1,-0.852023810338704,0.500252806919819,1
1,0,0,0,1,-0.546817849131426,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1.38941129078873,-0.153897497872063,1,-0.539104716982887,1.22619322239121,1
0,1,0,0,0,-1.23941593940889,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,-0.624816343442091,-0.97001421396783,1,-1.46686754241892,-0.747018662294687,1
1,0,0,0,1,-1.15793381114095,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.177883283070687,-0.888907666085883,1,-1.83898754532854,0.0757995346937667,1
0,1,0,1,0,-1.15793381114095,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,-0.490202120362309,-0.928170558451906,1,-0.852023810338704,-0.661299806342695,1
1,0,0,1,0,-1.28015700354285,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,-0.319026009532462,-0.982940087522037,1,-0.645666354179733,-0.318010281781331,1
0,1,0,0,1,-1.28015700354285,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0.658173535787442,-0.96997009835843,1,-1.62163563453814,0.655954690194936,1
0,1,0,0,0,-1.23941593940889,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,-0.34561647335069,-0.956955993585422,1,-1.56074327042566,-0.256723370279424,1
1,0,1,0,1,-0.872746362203172,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1.00384956542441,-0.513064731802369,1,1.33502693403465,1.22726314778275,1
0,1,1,0,0,-0.709782105667299,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0.319145122105027,-0.53335791212638,1,0.181454925014831,0.225952467873441,1
0,1,0,0,0,-1.28015700354285,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,-0.540059240021488,-0.985873775547139,1,1.08722884118802,-0.538311882585487,1
1,0,0,1,0,-1.23941593940889,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.186192803013883,-0.942375784678714,1,1.08722884118802,0.290717825703836,1
0,1,1,1,0,-1.28015700354285,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,-0.817597206124249,-0.989557428932041,1,1.20647638757497,-0.814931185850856,0
1,0,0,1,0,-1.23941593940889,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,-0.671349655123991,-0.971756780539131,1,0.408109835877963,-0.812446581330508,1
0,1,1,0,0,-1.19867487527492,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,-0.786021030340103,-0.948971068284018,1,-1.76540927202595,-0.68683601946849,0
0,1,1,0,0,-0.791264233935235,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1.39938271472057,-0.405422644866307,1,-1.61317836174474,1.3299833010995,1
0,1,0,0,0,1.0828247162273,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-1.51061116938683,-0.522196662948174,1,0.577255291745972,-1.52926200410763,0
1,0,1,0,0,-0.669041041533331,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0.985568621549383,-0.34061681465767,1,-0.500201262133245,0.982266083867257,1
0,1,0,0,0,-1.28015700354285,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-1.32946363462515,-0.996351232779645,1,0.579792473583992,-1.3251033140289,0
0,1,0,0,0,-1.28015700354285,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.19284041896844,-0.976146283674433,1,-0.899384537981746,0.192161846396713,1
0,1,0,1,0,-1.11719274700698,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0.684763999605671,-0.83034419460735,1,-0.613528717564811,0.510853786206635,1
1,0,0,1,0,0.797637267289525,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1.33789226714091,1.47414495142647,1,0.370052108307661,1.43678944157034,1
0,1,0,1,0,-0.587558913265394,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1.00883527739033,-0.222056114395102,1,0.204289561557012,1.12922584012634,1
0,1,0,1,0,-1.28015700354285,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.172897571104769,-0.976410977330833,1,-0.260014714800672,0.172285010233933,1
0,1,1,0,0,-0.994969554605076,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0.322468930082305,-0.739708675094998,1,-0.047737167686321,0.365048910937569,1
0,1,0,0,0,-0.91348742633714,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,-0.663040135180795,-0.815212540583141,1,-0.287923715018894,-0.704283464544708,1
0,1,1,0,0,-0.343112528461585,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.375649857718762,-0.251723861716619,1,-2.01574454671061,0.217421992353581,1
1,0,0,0,0,-1.28015700354285,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0.292554658286798,-0.974822815392432,1,-1.5531317249116,0.291546027210618,1
1,0,1,0,0,-1.15793381114095,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1.01880670132217,-0.832549975077351,1,-0.612682990285471,1.13382695960846,1
0,1,1,1,0,-0.0171840153898394,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.33576416199142,0.00884498520462953,1,-0.250711714727932,0.237868217052275,1
0,1,0,0,0,-1.11719274700698,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0.525221216696298,-0.823969489049046,1,1.11090920500954,0.606593880390697,1
1,0,0,1,0,0.22726236941397,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0.515249792764463,0.34205018300302,1,-1.97092100090558,0.51982451621168,1
0,1,1,1,0,-0.343112528461585,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0.942359117844761,-0.0230506003915886,1,-1.85167345451864,0.932919077421464,1
1,0,1,0,0,0.879119395557461,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0.586711664275952,0.911781220599646,1,-0.21349971443697,0.522031439135211,1
1,0,1,0,0,-1.23941593940889,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.184530899025244,-0.945949149040116,1,-1.46348463330156,0.156549181605064,1
1,0,0,0,0,-1.03571061873904,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.300864178229994,-0.781750850853222,1,-1.63093863461089,0.272852336057527,1
1,0,0,0,0,-1.23941593940889,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.525221216696298,-0.938559784465612,1,-1.45333590594948,0.433996686377216,1
0,1,0,1,0,1.44949429343302,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0.365678433786926,1.32816639992178,1,0.424178654185424,0.43241335996719,1
1,0,0,0,0,0.430967690083811,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1.32293513124316,1.09254493011625,1,0.71764602011642,1.52040445827433,1
0,1,0,1,0,1.24578897276317,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1.28304943551582,1.90566178477281,1,-0.0418170767309407,1.32545701301115,1
1,0,0,0,0,-1.23941593940889,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0.8509543984696,-0.933089448900009,1,-0.206733896202249,0.639390660059285,1
0,1,0,1,0,-1.15793381114095,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0.664821151741999,-0.843225952552157,1,0.454624836241666,0.933402194967087,1
1,0,1,0,0,-0.46533572086349,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,-0.761092470510513,-0.636676669341239,1,0.318462744267919,-0.821399045237158,0
1,0,0,0,0,-0.91348742633714,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0.513587888775824,-0.634073848386638,1,-0.679495445353335,0.655954690194936,1
0,1,1,1,0,-0.22088933605968,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,-1.13169705997708,-0.652117132631248,1,-1.2469784497905,-1.15884953007478,0
0,1,0,0,0,-1.11719274700698,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1.05370668508359,-0.790000469811027,1,0.830127748268646,1.11676600856874,1
0,1,0,0,0,-1.23941593940889,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0.693073519548867,-0.927222072849805,1,-0.442691807138122,0.859692260863441,1
1,0,0,1,0,-0.302371464327617,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1.33456845916363,0.124935211340796,1,-0.642283445062373,1.25424745869464,1
0,1,0,0,0,-1.28015700354285,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,-0.470259272498637,-0.984947347749738,1,-1.66645918034317,-0.468742956015754,1
0,1,0,0,0,-1.28015700354285,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0.865911534367353,-0.967212872770928,1,-0.826651991958502,0.863005066890571,1
0,1,1,1,0,-0.872746362203172,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1.49066832152316,-0.912553632724297,1,1.25722002433537,-1.49992912300609,0
1,0,1,1,0,0.919860459691429,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0.68642590359431,1.14321170751218,1,0.930769294510111,0.78949088950671,1
1,0,0,0,0,0.064298112878097,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0.304187986207273,0.106384597588085,1,1.17856738735674,0.313030548651271,1
0,1,0,1,0,1.49023535756698,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1.15175902041331,2.08415354040532,1,-0.322598533471836,1.21778738772359,1
1,0,0,0,0,-1.28015700354285,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,-1.4923302255118,-0.998512897640246,1,-0.888390083350326,-1.48743080935828,0
0,1,0,0,0,-1.28015700354285,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,-1.50230164944364,-0.998645244468446,1,-0.806354537254341,-1.49736922743967,0
0,1,1,0,0,-1.19867487527492,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0.550149776525888,-0.904193724742992,1,-1.33916272323857,0.433996686377215,1
1,0,0,1,0,-0.424594656729521,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0.61496403208282,-0.192961869995786,1,-0.505275625809285,0.632915630097167,1
1,0,1,0,0,-1.28015700354285,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0.349059393900534,-0.974072850032632,1,0.423332926906084,0.347863729671831,1
1,0,0,1,0,1.16430684449524,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,-1.50894926539819,-0.485602764950853,1,-0.152607350324487,-1.50445646000591,0
0,1,0,0,0,-0.832005298069203,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,-0.644759191305763,-0.77837600673412,1,-1.28080754096411,-0.714166669192313,1
1,0,0,0,0,1.12356578036127,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1.36614463494778,1.81454099355706,1,-0.250711714727932,1.38502047661561,1
1,0,0,0,0,-1.28015700354285,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.157940435207015,-0.976609497573133,1,-1.36115163250141,0.157377383111847,1
1,0,0,1,0,-0.180148271925712,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0.540178352594052,-0.0247931669628897,1,0.676205383428758,0.488303042321956,1
0,1,0,1,0,-1.15793381114095,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1.20826375602705,-0.837049767236154,1,0.0131551964261623,1.04935040591664,1
0,1,0,0,0,-1.03571061873904,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1.16339234833379,-0.710283563625181,1,-2.00475009207919,1.03953030233622,1
1,0,0,1,0,-0.791264233935235,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,-0.294097449702872,-0.683328926281766,1,0.0816591060527059,-0.275326050277924,1
0,1,0,0,0,-1.28015700354285,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,-0.325673625487019,-0.983028318740837,1,0.402189744922583,-0.324635893835592,1
1,0,0,1,0,-1.28015700354285,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0.329116546036862,-0.974337543689032,1,1.33502693403465,0.32798689350905,1
0,1,0,0,0,-0.343112528461585,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0.513587888775824,-0.186079834929382,1,0.0140009237055023,0.422815966035651,1
0,1,0,0,0,-1.11719274700698,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1.04041145317448,-0.807271730891137,1,-0.177133441425348,0.85737329664445,1
1,0,0,0,0,-0.709782105667299,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.139659491331983,-0.5684298215994,1,1.07369720471858,0.0503737484355423,1
1,0,0,1,0,0.634673010753652,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,-0.648082999283042,-0.0610120822803103,1,0.443630381610245,-0.66626901538339,0
1,0,0,1,0,-0.994969554605076,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0.623273552026017,-0.70728370218598,1,-1.28757335919883,0.669412964680152,1
0,1,0,0,0,-1.28015700354285,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.317483218116387,-0.974491948321932,1,-1.34254563235593,0.316392072414094,1
1,0,0,1,0,-1.23941593940889,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0.319145122105027,-0.945794744407216,1,-0.117086804592205,0.162346592152542,1
0,1,0,0,0,-0.424594656729521,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,-0.699602022930859,-0.608663257372223,1,-1.10151335774402,-0.786019424159538,0
1,0,1,0,0,-1.11719274700698,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,-1.20814464345448,-0.949478397792118,1,-0.255786078403972,-1.27839274904637,0
1,0,0,0,0,-0.832005298069203,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1.16006854035651,-0.460942139296239,1,-1.57596636145378,1.27227464482561,1
1,0,1,0,0,-0.506076784997458,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0.973935293628907,-0.220975281964802,1,-1.46771326969826,0.80569352262122,1
0,1,0,1,0,-1.23941593940889,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0.977259101606186,-0.933398258165809,1,-0.580545353670549,0.62779583896433,1
1,0,0,1,0,-1.07645168287301,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0.52189740871902,-0.785456562042824,1,0.53327747322029,0.629728309146823,1
1,0,1,1,0,-1.11719274700698,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.317483218116387,-0.859592843639567,1,0.737097747541241,0.0715757070091758,1
0,1,0,0,0,0.308744497681906,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1.32958274719772,0.81554301869349,1,-0.769142536963379,1.27540800719294,1
1,0,1,1,0,-0.22088933605968,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0.345735585923255,-0.156147393951465,1,0.0977279243601668,0.220566090666366,1
1,0,0,0,0,-0.383853592595553,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.359030817832369,-0.231474797002008,1,-1.93370900061462,0.386321086595473,1
0,1,0,1,0,0.064298112878097,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1.17170186827698,0.527931303210026,1,-1.55059454307358,1.24407519548193,1
1,0,0,0,0,-1.28015700354285,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0.671468767696556,-0.96979363592083,1,1.0804630229533,0.669205914303457,1
0,1,0,0,0,-0.91348742633714,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0.706368751457981,-0.639323605905241,1,-1.21399508589624,0.616532298472087,1
0,1,0,0,0,-0.791264233935235,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,-0.639773479339845,-0.7439217157927,1,0.384429472056442,-0.625336748605868,0
0,1,0,1,0,0.268003433547938,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0.714678271401178,0.433523899093972,1,-0.877395628718905,0.627583479603616,1
0,1,0,0,0,-0.0171840153898394,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0.516911696753102,0.138015489527903,1,1.32995257035861,0.540989968534685,1
1,0,0,0,0,0.105039177012065,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1.17834948423154,0.548930333284438,1,-1.40174654190973,1.19225066018692,1
